Modified Newton method
Tempo di esecuzione Modified Newton: 0.5401
n = 1000 |norma2 di x= 3.16e+01 | f(x) = 1.5343e-03 | iter = 1000 | norm grad = 3.02e-03
Tempo di esecuzione Modified Newton con precondizionamento: 0.7202
n = 1000 |norma2 di x= 3.16e+01 | f(x) = 1.5343e-03 | iter = 1000 | norm grad = 3.02e-03
Tempo di esecuzione Modified Newton con differenze finite: 2.5387
n = 1000 |norma2 di x= 3.14e+01 | f(x) = 3.2326e-01 | iter = 1000 | norm grad = 1.62e+00
Tempo di esecuzione Modified Newton con differenze finite e precondizionamento: 5.0277
n = 1000 |norma2 di x= 3.14e+01 | f(x) = 3.2326e-01 | iter = 1000 | norm grad = 1.62e+00
n = 1000 | Punto #1 |norma2 di x= 3.14e+01 | f(x) = 1.2851e-02 | iter = 1000 (norm grad = 1.09e-02)
n = 1000 | Punto #1 |norma2 di x= 3.14e+01 | f(x) = 1.2851e-02 | iter = 1000 (norm grad = 1.09e-02)
n = 1000 | Punto #1 |norma2 di x= 2.49e+01 | f(x) = 9.9173e-01 | iter = 1000 (norm grad = 9.94e-01)
n = 1000 | Punto #1 |norma2 di x= 3.14e+01 | f(x) = 9.9173e-01 | iter = 1000 (norm grad = 9.94e-01)
n = 1000 | Punto #2 |norma2 di x= 3.24e+01 | f(x) = 1.6676e-02 | iter = 1000 (norm grad = 1.28e-02)
n = 1000 | Punto #2 |norma2 di x= 3.24e+01 | f(x) = 1.6676e-02 | iter = 1000 (norm grad = 1.28e-02)
n = 1000 | Punto #2 |norma2 di x= 2.59e+01 | f(x) = 9.1994e-01 | iter = 1000 (norm grad = 9.90e-01)
n = 1000 | Punto #2 |norma2 di x= 3.24e+01 | f(x) = 9.1994e-01 | iter = 1000 (norm grad = 9.90e-01)
n = 1000 | Punto #3 |norma2 di x= 3.22e+01 | f(x) = 1.2669e-02 | iter = 1000 (norm grad = 1.13e-02)
n = 1000 | Punto #3 |norma2 di x= 3.22e+01 | f(x) = 1.2669e-02 | iter = 1000 (norm grad = 1.13e-02)
n = 1000 | Punto #3 |norma2 di x= 2.56e+01 | f(x) = 9.8680e-01 | iter = 1000 (norm grad = 9.90e-01)
n = 1000 | Punto #3 |norma2 di x= 3.22e+01 | f(x) = 9.8680e-01 | iter = 1000 (norm grad = 9.90e-01)
