n = 1000
Tempo di esecuzione Modified Newton: 16.1176
n = 1000 | norma 2 di x = 5.78e+00 | f(x) = 5.7227e-19 | iter = 800 | norm grad = 1.30e-05
Tempo di esecuzione Modified Newton con precondizionamento: 19.7355
n = 1000 | norma 2 di x = 5.78e+00 | f(x) = 5.7227e-19 | iter = 800 | norm grad = 1.30e-05
Tempo di esecuzione Modified Newton con differenze finite: 33.1908
n = 1000 | norma 2 di x = 5.78e+00 | f(x) = 5.7227e-19 | iter = 800 | norm grad = 1.27e+02
Tempo di esecuzione Modified Newton con differenze finite e precondizionamento: 34.9421
n = 1000 | norma 2 di x = 5.78e+00 | f(x) = 5.7227e-19 | iter = 800 | norm grad = 1.27e+02
n = 1000 | Punto #1 | norma 2 di x = 6.74e+00 | f(x) = 8.3896e-07 | iter = 800 (norm grad = 1.69e-02)
n = 1000 | Punto #1 | norma 2 di x = 6.74e+00 | f(x) = 8.3896e-07 | iter = 800 (norm grad = 1.69e-02)
n = 1000 | Punto #1 | norma 2 di x = 5.18e+01 | f(x) = 1.2767e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #1 | norma 2 di x = 5.18e+01 | f(x) = 1.2767e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #2 | norma 2 di x = 7.81e+00 | f(x) = 7.8778e-07 | iter = 800 (norm grad = 1.40e-02)
n = 1000 | Punto #2 | norma 2 di x = 7.81e+00 | f(x) = 7.8778e-07 | iter = 800 (norm grad = 1.40e-02)
n = 1000 | Punto #2 | norma 2 di x = 5.15e+01 | f(x) = 9.1629e-01 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #2 | norma 2 di x = 5.15e+01 | f(x) = 9.1629e-01 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #3 | norma 2 di x = 7.57e+00 | f(x) = 6.2653e-07 | iter = 800 (norm grad = 1.37e-02)
n = 1000 | Punto #3 | norma 2 di x = 7.57e+00 | f(x) = 6.2653e-07 | iter = 800 (norm grad = 1.37e-02)
n = 1000 | Punto #3 | norma 2 di x = 4.61e+01 | f(x) = 1.5153e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #3 | norma 2 di x = 4.61e+01 | f(x) = 1.5153e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #4 | norma 2 di x = 6.43e+00 | f(x) = 8.1179e-07 | iter = 800 (norm grad = 1.56e-02)
n = 1000 | Punto #4 | norma 2 di x = 6.43e+00 | f(x) = 8.1179e-07 | iter = 800 (norm grad = 1.56e-02)
n = 1000 | Punto #4 | norma 2 di x = 5.28e+01 | f(x) = 1.9401e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #4 | norma 2 di x = 5.28e+01 | f(x) = 1.9401e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #5 | norma 2 di x = 7.45e+00 | f(x) = 9.5085e-07 | iter = 800 (norm grad = 1.73e-02)
n = 1000 | Punto #5 | norma 2 di x = 7.45e+00 | f(x) = 9.5085e-07 | iter = 800 (norm grad = 1.73e-02)
n = 1000 | Punto #5 | norma 2 di x = 5.13e+01 | f(x) = 1.0699e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #5 | norma 2 di x = 5.13e+01 | f(x) = 1.0699e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #6 | norma 2 di x = 7.39e+00 | f(x) = 9.3115e-07 | iter = 800 (norm grad = 1.75e-02)
n = 1000 | Punto #6 | norma 2 di x = 7.39e+00 | f(x) = 9.3115e-07 | iter = 800 (norm grad = 1.75e-02)
n = 1000 | Punto #6 | norma 2 di x = 4.34e+01 | f(x) = 1.1499e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #6 | norma 2 di x = 4.34e+01 | f(x) = 1.1499e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #7 | norma 2 di x = 6.24e+00 | f(x) = 9.9615e-07 | iter = 800 (norm grad = 1.85e-02)
n = 1000 | Punto #7 | norma 2 di x = 6.24e+00 | f(x) = 9.9615e-07 | iter = 800 (norm grad = 1.85e-02)
n = 1000 | Punto #7 | norma 2 di x = 4.88e+01 | f(x) = 1.8579e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #7 | norma 2 di x = 4.88e+01 | f(x) = 1.8579e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #8 | norma 2 di x = 7.51e+00 | f(x) = 7.8229e-07 | iter = 800 (norm grad = 1.63e-02)
n = 1000 | Punto #8 | norma 2 di x = 7.51e+00 | f(x) = 7.8229e-07 | iter = 800 (norm grad = 1.63e-02)
n = 1000 | Punto #8 | norma 2 di x = 5.16e+01 | f(x) = 1.0408e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #8 | norma 2 di x = 5.16e+01 | f(x) = 1.0408e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #9 | norma 2 di x = 7.44e+00 | f(x) = 6.8411e-07 | iter = 800 (norm grad = 1.55e-02)
n = 1000 | Punto #9 | norma 2 di x = 7.44e+00 | f(x) = 6.8411e-07 | iter = 800 (norm grad = 1.55e-02)
n = 1000 | Punto #9 | norma 2 di x = 5.26e+01 | f(x) = 9.9527e-01 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #9 | norma 2 di x = 5.26e+01 | f(x) = 9.9527e-01 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #10 | norma 2 di x = 7.31e+00 | f(x) = 8.2574e-07 | iter = 800 (norm grad = 1.44e-02)
n = 1000 | Punto #10 | norma 2 di x = 7.31e+00 | f(x) = 8.2574e-07 | iter = 800 (norm grad = 1.44e-02)
n = 1000 | Punto #10 | norma 2 di x = 5.03e+01 | f(x) = 8.5070e-01 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #10 | norma 2 di x = 5.03e+01 | f(x) = 8.5070e-01 | iter = 800 (norm grad = 1.27e+02)
Tempo di esecuzione Modified Newton: 22.1767
n = 1000 | norma 2 di x = 5.78e+00 | f(x) = 5.7227e-19 | iter = 800 | norm grad = 1.30e-05
Tempo di esecuzione Modified Newton con precondizionamento: 21.6030
n = 1000 | norma 2 di x = 5.78e+00 | f(x) = 5.7227e-19 | iter = 800 | norm grad = 1.30e-05
Tempo di esecuzione Modified Newton con differenze finite: 34.0104
n = 1000 | norma 2 di x = 5.78e+00 | f(x) = 5.7227e-19 | iter = 800 | norm grad = 1.26e+02
Tempo di esecuzione Modified Newton con differenze finite e precondizionamento: 33.5503
n = 1000 | norma 2 di x = 5.78e+00 | f(x) = 5.7227e-19 | iter = 800 | norm grad = 1.26e+02
n = 1000 | Punto #1 | norma 2 di x = 6.51e+00 | f(x) = 9.0664e-07 | iter = 800 (norm grad = 1.71e-02)
n = 1000 | Punto #1 | norma 2 di x = 6.51e+00 | f(x) = 9.0664e-07 | iter = 800 (norm grad = 1.71e-02)
n = 1000 | Punto #1 | norma 2 di x = 5.20e+01 | f(x) = 1.1479e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #1 | norma 2 di x = 5.20e+01 | f(x) = 1.1479e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #2 | norma 2 di x = 7.59e+00 | f(x) = 1.0120e-06 | iter = 800 (norm grad = 1.67e-02)
n = 1000 | Punto #2 | norma 2 di x = 7.59e+00 | f(x) = 1.0120e-06 | iter = 800 (norm grad = 1.67e-02)
n = 1000 | Punto #2 | norma 2 di x = 5.25e+01 | f(x) = 6.9347e-01 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #2 | norma 2 di x = 5.25e+01 | f(x) = 6.9347e-01 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #3 | norma 2 di x = 8.46e+00 | f(x) = 8.2566e-07 | iter = 800 (norm grad = 1.46e-02)
n = 1000 | Punto #3 | norma 2 di x = 8.46e+00 | f(x) = 8.2566e-07 | iter = 800 (norm grad = 1.46e-02)
n = 1000 | Punto #3 | norma 2 di x = 4.73e+01 | f(x) = 9.7049e-01 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #3 | norma 2 di x = 4.73e+01 | f(x) = 9.7049e-01 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #4 | norma 2 di x = 7.69e+00 | f(x) = 7.7679e-07 | iter = 800 (norm grad = 1.49e-02)
n = 1000 | Punto #4 | norma 2 di x = 7.69e+00 | f(x) = 7.7679e-07 | iter = 800 (norm grad = 1.49e-02)
n = 1000 | Punto #4 | norma 2 di x = 4.81e+01 | f(x) = 8.5134e-01 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #4 | norma 2 di x = 4.81e+01 | f(x) = 8.5134e-01 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #5 | norma 2 di x = 6.85e+00 | f(x) = 8.3381e-07 | iter = 800 (norm grad = 1.51e-02)
n = 1000 | Punto #5 | norma 2 di x = 6.85e+00 | f(x) = 8.3381e-07 | iter = 800 (norm grad = 1.51e-02)
n = 1000 | Punto #5 | norma 2 di x = 4.91e+01 | f(x) = 1.0958e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #5 | norma 2 di x = 4.91e+01 | f(x) = 1.0958e+00 | iter = 800 (norm grad = 1.27e+02)
n = 1000 | Punto #6 | norma 2 di x = 7.48e+00 | f(x) = 8.8005e-07 | iter = 800 (norm grad = 1.52e-02)
